Unit price,Quantity,Tax 5%,Total,cogs,gross margin percentage,gross income
64.36,9,28.962,608.202,579.24,4.761904762,28.962
89.75,1,4.4875,94.2375,89.75,4.761904762,4.4875
97.16,1,4.858,102.018,97.16,4.761904762,4.858
87.87,10,43.935,922.635,878.7,4.761904762,43.935
12.45,6,3.735,78.435,74.7,4.761904762,3.735
52.75,3,7.9125,166.1625,158.25,4.761904762,7.9125
82.7,6,24.81,521.01,496.2,4.761904762,24.81
48.71,1,2.4355,51.1455,48.71,4.761904762,2.4355
78.55,9,35.3475,742.2975,706.95,4.761904762,35.3475
23.07,9,10.3815,218.0115,207.63,4.761904762,10.3815
58.26,6,17.478,367.038,349.56,4.761904762,17.478
30.35,7,10.6225,223.0725,212.45,4.761904762,10.6225
88.67,10,44.335,931.035,886.7,4.761904762,44.335
27.38,6,8.214,172.494,164.28,4.761904762,8.214
62.13,6,18.639,391.419,372.78,4.761904762,18.639
33.98,9,15.291,321.111,305.82,4.761904762,15.291
81.97,10,40.985,860.685,819.7,4.761904762,40.985
16.49,2,1.649,34.629,32.98,4.761904762,1.649
98.21,3,14.7315,309.3615,294.63,4.761904762,14.7315
72.84,7,25.494,535.374,509.88,4.761904762,25.494
58.07,9,26.1315,548.7615,522.63,4.761904762,26.1315
80.79,9,36.3555,763.4655,727.11,4.761904762,36.3555
27.02,3,4.053,85.113,81.06,4.761904762,4.053
21.94,5,5.485,115.185,109.7,4.761904762,5.485
51.36,1,2.568,53.928,51.36,4.761904762,2.568
10.96,10,5.48,115.08,109.6,4.761904762,5.48
53.44,2,5.344,112.224,106.88,4.761904762,5.344
99.56,8,39.824,836.304,796.48,4.761904762,39.824
57.12,7,19.992,419.832,399.84,4.761904762,19.992
99.96,9,44.982,944.622,899.64,4.761904762,44.982
63.91,8,25.564,536.844,511.28,4.761904762,25.564
56.47,8,22.588,474.348,451.76,4.761904762,22.588
93.69,7,32.7915,688.6215,655.83,4.761904762,32.7915
32.25,5,8.0625,169.3125,161.25,4.761904762,8.0625
31.73,9,14.2785,299.8485,285.57,4.761904762,14.2785
68.54,8,27.416,575.736,548.32,4.761904762,27.416
90.28,9,40.626,853.146,812.52,4.761904762,40.626
39.62,7,13.867,291.207,277.34,4.761904762,13.867
92.13,6,27.639,580.419,552.78,4.761904762,27.639
34.84,4,6.968,146.328,139.36,4.761904762,6.968
87.45,6,26.235,550.935,524.7,4.761904762,26.235
81.3,6,24.39,512.19,487.8,4.761904762,24.39
90.22,3,13.533,284.193,270.66,4.761904762,13.533
26.31,5,6.5775,138.1275,131.55,4.761904762,6.5775
34.42,6,10.326,216.846,206.52,4.761904762,10.326
51.91,10,25.955,545.055,519.1,4.761904762,25.955
72.5,8,29,609,580,4.761904762,29
89.8,10,44.9,942.9,898,4.761904762,44.9
90.5,10,45.25,950.25,905,4.761904762,45.25
68.6,10,34.3,720.3,686,4.761904762,34.3
30.41,1,1.5205,31.9305,30.41,4.761904762,1.5205
77.95,6,23.385,491.085,467.7,4.761904762,23.385
46.26,6,13.878,291.438,277.56,4.761904762,13.878
30.14,10,15.07,316.47,301.4,4.761904762,15.07
66.14,4,13.228,277.788,264.56,4.761904762,13.228
71.86,8,28.744,603.624,574.88,4.761904762,28.744
32.46,8,12.984,272.664,259.68,4.761904762,12.984
91.54,4,18.308,384.468,366.16,4.761904762,18.308
34.56,7,12.096,254.016,241.92,4.761904762,12.096
83.24,9,37.458,786.618,749.16,4.761904762,37.458
16.48,6,4.944,103.824,98.88,4.761904762,4.944
80.97,8,32.388,680.148,647.76,4.761904762,32.388
92.29,5,23.0725,484.5225,461.45,4.761904762,23.0725
72.17,1,3.6085,75.7785,72.17,4.761904762,3.6085
50.28,5,12.57,263.97,251.4,4.761904762,12.57
97.22,9,43.749,918.729,874.98,4.761904762,43.749
93.39,6,28.017,588.357,560.34,4.761904762,28.017
43.18,8,17.272,362.712,345.44,4.761904762,17.272
63.69,1,3.1845,66.8745,63.69,4.761904762,3.1845
45.79,7,16.0265,336.5565,320.53,4.761904762,16.0265
76.4,2,7.64,160.44,152.8,4.761904762,7.64
39.9,10,19.95,418.95,399,4.761904762,19.95
42.57,8,17.028,357.588,340.56,4.761904762,17.028
95.58,10,47.79,1003.59,955.8,4.761904762,47.79
98.98,10,49.49,1039.29,989.8,4.761904762,49.49
51.28,6,15.384,323.064,307.68,4.761904762,15.384
69.52,7,24.332,510.972,486.64,4.761904762,24.332
70.01,5,17.5025,367.5525,350.05,4.761904762,17.5025
80.05,5,20.0125,420.2625,400.25,4.761904762,20.0125
20.85,8,8.34,175.14,166.8,4.761904762,8.34
52.89,6,15.867,333.207,317.34,4.761904762,15.867
19.79,8,7.916,166.236,158.32,4.761904762,7.916
33.84,9,15.228,319.788,304.56,4.761904762,15.228
22.17,8,8.868,186.228,177.36,4.761904762,8.868
22.51,7,7.8785,165.4485,157.57,4.761904762,7.8785
73.88,6,22.164,465.444,443.28,4.761904762,22.164
86.8,3,13.02,273.42,260.4,4.761904762,13.02
64.26,7,22.491,472.311,449.82,4.761904762,22.491
38.47,8,15.388,323.148,307.76,4.761904762,15.388
15.5,10,7.75,162.75,155,4.761904762,7.75
34.31,8,13.724,288.204,274.48,4.761904762,13.724
12.34,7,4.319,90.699,86.38,4.761904762,4.319
18.08,3,2.712,56.952,54.24,4.761904762,2.712
94.49,8,37.796,793.716,755.92,4.761904762,37.796
46.47,4,9.294,195.174,185.88,4.761904762,9.294
74.07,1,3.7035,77.7735,74.07,4.761904762,3.7035
69.81,4,13.962,293.202,279.24,4.761904762,13.962
77.04,3,11.556,242.676,231.12,4.761904762,11.556
73.52,2,7.352,154.392,147.04,4.761904762,7.352
87.8,9,39.51,829.71,790.2,4.761904762,39.51
25.55,4,5.11,107.31,102.2,4.761904762,5.11
32.71,5,8.1775,171.7275,163.55,4.761904762,8.1775
74.29,1,3.7145,78.0045,74.29,4.761904762,3.7145
43.7,2,4.37,91.77,87.4,4.761904762,4.37
25.29,1,1.2645,26.5545,25.29,4.761904762,1.2645
41.5,4,8.3,174.3,166,4.761904762,8.3
71.39,5,17.8475,374.7975,356.95,4.761904762,17.8475
19.15,6,5.745,120.645,114.9,4.761904762,5.745
57.49,4,11.498,241.458,229.96,4.761904762,11.498
61.41,7,21.4935,451.3635,429.87,4.761904762,21.4935
25.9,10,12.95,271.95,259,4.761904762,12.95
17.77,5,4.4425,93.2925,88.85,4.761904762,4.4425
23.03,9,10.3635,217.6335,207.27,4.761904762,10.3635
66.65,9,29.9925,629.8425,599.85,4.761904762,29.9925
28.53,10,14.265,299.565,285.3,4.761904762,14.265
30.37,3,4.5555,95.6655,91.11,4.761904762,4.5555
99.73,9,44.8785,942.4485,897.57,4.761904762,44.8785
26.23,9,11.8035,247.8735,236.07,4.761904762,11.8035
93.26,9,41.967,881.307,839.34,4.761904762,41.967
92.36,5,23.09,484.89,461.8,4.761904762,23.09
46.42,3,6.963,146.223,139.26,4.761904762,6.963
29.61,7,10.3635,217.6335,207.27,4.761904762,10.3635
18.28,1,0.914,19.194,18.28,4.761904762,0.914
24.77,5,6.1925,130.0425,123.85,4.761904762,6.1925
94.64,3,14.196,298.116,283.92,4.761904762,14.196
94.87,8,37.948,796.908,758.96,4.761904762,37.948
57.34,3,8.601,180.621,172.02,4.761904762,8.601
45.35,6,13.605,285.705,272.1,4.761904762,13.605
62.08,7,21.728,456.288,434.56,4.761904762,21.728
11.81,5,2.9525,62.0025,59.05,4.761904762,2.9525
12.54,1,0.627,13.167,12.54,4.761904762,0.627
43.25,2,4.325,90.825,86.5,4.761904762,4.325
87.16,2,8.716,183.036,174.32,4.761904762,8.716
69.37,9,31.2165,655.5465,624.33,4.761904762,31.2165
37.06,4,7.412,155.652,148.24,4.761904762,7.412
90.7,6,27.21,571.41,544.2,4.761904762,27.21
63.42,8,25.368,532.728,507.36,4.761904762,25.368
81.37,2,8.137,170.877,162.74,4.761904762,8.137
10.59,3,1.5885,33.3585,31.77,4.761904762,1.5885
84.09,9,37.8405,794.6505,756.81,4.761904762,37.8405
73.82,4,14.764,310.044,295.28,4.761904762,14.764
51.94,10,25.97,545.37,519.4,4.761904762,25.97
93.14,2,9.314,195.594,186.28,4.761904762,9.314
17.41,5,4.3525,91.4025,87.05,4.761904762,4.3525
44.22,5,11.055,232.155,221.1,4.761904762,11.055
13.22,5,3.305,69.405,66.1,4.761904762,3.305
89.69,1,4.4845,94.1745,89.69,4.761904762,4.4845
24.94,9,11.223,235.683,224.46,4.761904762,11.223
59.77,2,5.977,125.517,119.54,4.761904762,5.977
93.2,2,9.32,195.72,186.4,4.761904762,9.32
62.65,4,12.53,263.13,250.6,4.761904762,12.53
93.87,8,37.548,788.508,750.96,4.761904762,37.548
47.59,8,19.036,399.756,380.72,4.761904762,19.036
81.4,3,12.21,256.41,244.2,4.761904762,12.21
17.94,5,4.485,94.185,89.7,4.761904762,4.485
77.72,4,15.544,326.424,310.88,4.761904762,15.544
73.06,7,25.571,536.991,511.42,4.761904762,25.571
46.55,9,20.9475,439.8975,418.95,4.761904762,20.9475
35.19,10,17.595,369.495,351.9,4.761904762,17.595
14.39,2,1.439,30.219,28.78,4.761904762,1.439
23.75,4,4.75,99.75,95,4.761904762,4.75
58.9,8,23.56,494.76,471.2,4.761904762,23.56
32.62,4,6.524,137.004,130.48,4.761904762,6.524
66.35,1,3.3175,69.6675,66.35,4.761904762,3.3175
25.91,6,7.773,163.233,155.46,4.761904762,7.773
32.25,4,6.45,135.45,129,4.761904762,6.45
65.94,4,13.188,276.948,263.76,4.761904762,13.188
75.06,9,33.777,709.317,675.54,4.761904762,33.777
16.45,4,3.29,69.09,65.8,4.761904762,3.29
38.3,4,7.66,160.86,153.2,4.761904762,7.66
22.24,10,11.12,233.52,222.4,4.761904762,11.12
54.45,1,2.7225,57.1725,54.45,4.761904762,2.7225
98.4,7,34.44,723.24,688.8,4.761904762,34.44
35.47,4,7.094,148.974,141.88,4.761904762,7.094
74.6,10,37.3,783.3,746,4.761904762,37.3
70.74,4,14.148,297.108,282.96,4.761904762,14.148
35.54,10,17.77,373.17,355.4,4.761904762,17.77
67.43,5,16.8575,354.0075,337.15,4.761904762,16.8575
21.12,2,2.112,44.352,42.24,4.761904762,2.112
21.54,9,9.693,203.553,193.86,4.761904762,9.693
12.03,2,1.203,25.263,24.06,4.761904762,1.203
99.71,6,29.913,628.173,598.26,4.761904762,29.913
47.97,7,16.7895,352.5795,335.79,4.761904762,16.7895
21.82,10,10.91,229.11,218.2,4.761904762,10.91
95.42,4,19.084,400.764,381.68,4.761904762,19.084
70.99,10,35.495,745.395,709.9,4.761904762,35.495
44.02,10,22.01,462.21,440.2,4.761904762,22.01
69.96,8,27.984,587.664,559.68,4.761904762,27.984
37,1,1.85,38.85,37,4.761904762,1.85
15.34,1,0.767,16.107,15.34,4.761904762,0.767
99.83,6,29.949,628.929,598.98,4.761904762,29.949
47.67,4,9.534,200.214,190.68,4.761904762,9.534
66.68,5,16.67,350.07,333.4,4.761904762,16.67
74.86,1,3.743,78.603,74.86,4.761904762,3.743
23.75,9,10.6875,224.4375,213.75,4.761904762,10.6875
48.51,7,16.9785,356.5485,339.57,4.761904762,16.9785
94.88,7,33.208,697.368,664.16,4.761904762,33.208
40.3,10,20.15,423.15,403,4.761904762,20.15
27.85,7,9.7475,204.6975,194.95,4.761904762,9.7475
62.48,1,3.124,65.604,62.48,4.761904762,3.124
36.36,2,3.636,76.356,72.72,4.761904762,3.636
18.11,10,9.055,190.155,181.1,4.761904762,9.055
51.92,5,12.98,272.58,259.6,4.761904762,12.98
28.84,4,5.768,121.128,115.36,4.761904762,5.768
78.38,6,23.514,493.794,470.28,4.761904762,23.514
60.01,4,12.002,252.042,240.04,4.761904762,12.002
88.61,1,4.4305,93.0405,88.61,4.761904762,4.4305
99.82,2,9.982,209.622,199.64,4.761904762,9.982
39.01,1,1.9505,40.9605,39.01,4.761904762,1.9505
48.61,1,2.4305,51.0405,48.61,4.761904762,2.4305
51.19,4,10.238,214.998,204.76,4.761904762,10.238
14.96,8,5.984,125.664,119.68,4.761904762,5.984
72.2,7,25.27,530.67,505.4,4.761904762,25.27
40.23,7,14.0805,295.6905,281.61,4.761904762,14.0805
88.79,8,35.516,745.836,710.32,4.761904762,35.516
26.48,3,3.972,83.412,79.44,4.761904762,3.972
81.91,2,8.191,172.011,163.82,4.761904762,8.191
79.93,6,23.979,503.559,479.58,4.761904762,23.979
69.33,2,6.933,145.593,138.66,4.761904762,6.933
14.23,5,3.5575,74.7075,71.15,4.761904762,3.5575
15.55,9,6.9975,146.9475,139.95,4.761904762,6.9975
78.13,10,39.065,820.365,781.3,4.761904762,39.065
99.37,2,9.937,208.677,198.74,4.761904762,9.937
21.08,3,3.162,66.402,63.24,4.761904762,3.162
74.79,5,18.6975,392.6475,373.95,4.761904762,18.6975
29.67,7,10.3845,218.0745,207.69,4.761904762,10.3845
44.07,4,8.814,185.094,176.28,4.761904762,8.814
22.93,9,10.3185,216.6885,206.37,4.761904762,10.3185
39.42,1,1.971,41.391,39.42,4.761904762,1.971
15.26,6,4.578,96.138,91.56,4.761904762,4.578
61.77,5,15.4425,324.2925,308.85,4.761904762,15.4425
21.52,6,6.456,135.576,129.12,4.761904762,6.456
97.74,4,19.548,410.508,390.96,4.761904762,19.548
99.78,5,24.945,523.845,498.9,4.761904762,24.945
94.26,4,18.852,395.892,377.04,4.761904762,18.852
51.13,4,10.226,214.746,204.52,4.761904762,10.226
36.36,4,7.272,152.712,145.44,4.761904762,7.272
22.02,9,9.909,208.089,198.18,4.761904762,9.909
32.9,3,4.935,103.635,98.7,4.761904762,4.935
77.02,5,19.255,404.355,385.1,4.761904762,19.255
23.48,2,2.348,49.308,46.96,4.761904762,2.348
14.7,5,3.675,77.175,73.5,4.761904762,3.675
28.45,5,7.1125,149.3625,142.25,4.761904762,7.1125
76.4,9,34.38,721.98,687.6,4.761904762,34.38
57.95,6,17.385,365.085,347.7,4.761904762,17.385
47.65,3,7.1475,150.0975,142.95,4.761904762,7.1475
42.82,9,19.269,404.649,385.38,4.761904762,19.269
48.09,3,7.2135,151.4835,144.27,4.761904762,7.2135
55.97,7,19.5895,411.3795,391.79,4.761904762,19.5895
76.9,7,26.915,565.215,538.3,4.761904762,26.915
97.03,5,24.2575,509.4075,485.15,4.761904762,24.2575
44.65,3,6.6975,140.6475,133.95,4.761904762,6.6975
77.93,9,35.0685,736.4385,701.37,4.761904762,35.0685
71.95,1,3.5975,75.5475,71.95,4.761904762,3.5975
89.25,8,35.7,749.7,714,4.761904762,35.7
26.02,7,9.107,191.247,182.14,4.761904762,9.107
13.5,10,6.75,141.75,135,4.761904762,6.75
99.3,10,49.65,1042.65,993,4.761904762,49.65
51.69,7,18.0915,379.9215,361.83,4.761904762,18.0915
54.73,7,19.1555,402.2655,383.11,4.761904762,19.1555
27,9,12.15,255.15,243,4.761904762,12.15
30.24,1,1.512,31.752,30.24,4.761904762,1.512
89.14,4,17.828,374.388,356.56,4.761904762,17.828
37.55,10,18.775,394.275,375.5,4.761904762,18.775
95.44,10,47.72,1002.12,954.4,4.761904762,47.72
27.5,3,4.125,86.625,82.5,4.761904762,4.125
74.97,1,3.7485,78.7185,74.97,4.761904762,3.7485
80.96,8,32.384,680.064,647.68,4.761904762,32.384
94.47,8,37.788,793.548,755.76,4.761904762,37.788
99.79,2,9.979,209.559,199.58,4.761904762,9.979
73.22,6,21.966,461.286,439.32,4.761904762,21.966
41.24,4,8.248,173.208,164.96,4.761904762,8.248
81.68,4,16.336,343.056,326.72,4.761904762,16.336
51.32,9,23.094,484.974,461.88,4.761904762,23.094
65.94,4,13.188,276.948,263.76,4.761904762,13.188
14.36,10,7.18,150.78,143.6,4.761904762,7.18
21.5,9,9.675,203.175,193.5,4.761904762,9.675
26.26,7,9.191,193.011,183.82,4.761904762,9.191
60.96,2,6.096,128.016,121.92,4.761904762,6.096
70.11,6,21.033,441.693,420.66,4.761904762,21.033
42.08,6,12.624,265.104,252.48,4.761904762,12.624
67.09,5,16.7725,352.2225,335.45,4.761904762,16.7725
96.7,5,24.175,507.675,483.5,4.761904762,24.175
35.38,9,15.921,334.341,318.42,4.761904762,15.921
95.49,7,33.4215,701.8515,668.43,4.761904762,33.4215
96.98,4,19.396,407.316,387.92,4.761904762,19.396
23.65,4,4.73,99.33,94.6,4.761904762,4.73
82.33,4,16.466,345.786,329.32,4.761904762,16.466
26.61,2,2.661,55.881,53.22,4.761904762,2.661
99.69,5,24.9225,523.3725,498.45,4.761904762,24.9225
74.89,4,14.978,314.538,299.56,4.761904762,14.978
40.94,5,10.235,214.935,204.7,4.761904762,10.235
75.82,1,3.791,79.611,75.82,4.761904762,3.791
46.77,6,14.031,294.651,280.62,4.761904762,14.031
32.32,10,16.16,339.36,323.2,4.761904762,16.16
54.07,9,24.3315,510.9615,486.63,4.761904762,24.3315
18.22,7,6.377,133.917,127.54,4.761904762,6.377
80.48,3,12.072,253.512,241.44,4.761904762,12.072
37.95,10,18.975,398.475,379.5,4.761904762,18.975
76.82,1,3.841,80.661,76.82,4.761904762,3.841
52.26,10,26.13,548.73,522.6,4.761904762,26.13
79.74,1,3.987,83.727,79.74,4.761904762,3.987
77.5,5,19.375,406.875,387.5,4.761904762,19.375
54.27,5,13.5675,284.9175,271.35,4.761904762,13.5675
13.59,9,6.1155,128.4255,122.31,4.761904762,6.1155
41.06,6,12.318,258.678,246.36,4.761904762,12.318
19.24,9,8.658,181.818,173.16,4.761904762,8.658
39.43,6,11.829,248.409,236.58,4.761904762,11.829
46.22,4,9.244,194.124,184.88,4.761904762,9.244
13.98,1,0.699,14.679,13.98,4.761904762,0.699
39.75,5,9.9375,208.6875,198.75,4.761904762,9.9375
97.79,7,34.2265,718.7565,684.53,4.761904762,34.2265
67.26,4,13.452,282.492,269.04,4.761904762,13.452
13.79,5,3.4475,72.3975,68.95,4.761904762,3.4475
68.71,4,13.742,288.582,274.84,4.761904762,13.742
56.53,4,11.306,237.426,226.12,4.761904762,11.306
23.82,5,5.955,125.055,119.1,4.761904762,5.955
34.21,10,17.105,359.205,342.1,4.761904762,17.105
21.87,2,2.187,45.927,43.74,4.761904762,2.187
20.97,5,5.2425,110.0925,104.85,4.761904762,5.2425
25.84,3,3.876,81.396,77.52,4.761904762,3.876
50.93,8,20.372,427.812,407.44,4.761904762,20.372
96.11,1,4.8055,100.9155,96.11,4.761904762,4.8055
45.38,4,9.076,190.596,181.52,4.761904762,9.076
81.51,1,4.0755,85.5855,81.51,4.761904762,4.0755
57.22,2,5.722,120.162,114.44,4.761904762,5.722
25.22,7,8.827,185.367,176.54,4.761904762,8.827
38.6,3,5.79,121.59,115.8,4.761904762,5.79
84.05,3,12.6075,264.7575,252.15,4.761904762,12.6075
97.21,10,48.605,1020.705,972.1,4.761904762,48.605
25.42,8,10.168,213.528,203.36,4.761904762,10.168
16.28,1,0.814,17.094,16.28,4.761904762,0.814
40.61,9,18.2745,383.7645,365.49,4.761904762,18.2745
53.17,7,18.6095,390.7995,372.19,4.761904762,18.6095
20.87,3,3.1305,65.7405,62.61,4.761904762,3.1305
67.27,5,16.8175,353.1675,336.35,4.761904762,16.8175
90.65,10,45.325,951.825,906.5,4.761904762,45.325
69.08,2,6.908,145.068,138.16,4.761904762,6.908
43.27,2,4.327,90.867,86.54,4.761904762,4.327
23.46,6,7.038,147.798,140.76,4.761904762,7.038
95.54,7,33.439,702.219,668.78,4.761904762,33.439
47.44,1,2.372,49.812,47.44,4.761904762,2.372
99.24,9,44.658,937.818,893.16,4.761904762,44.658
82.93,4,16.586,348.306,331.72,4.761904762,16.586
33.99,6,10.197,214.137,203.94,4.761904762,10.197
17.04,4,3.408,71.568,68.16,4.761904762,3.408
40.86,8,16.344,343.224,326.88,4.761904762,16.344
17.44,5,4.36,91.56,87.2,4.761904762,4.36
88.43,8,35.372,742.812,707.44,4.761904762,35.372
89.21,9,40.1445,843.0345,802.89,4.761904762,40.1445
12.78,1,0.639,13.419,12.78,4.761904762,0.639
19.1,7,6.685,140.385,133.7,4.761904762,6.685
19.15,1,0.9575,20.1075,19.15,4.761904762,0.9575
27.66,10,13.83,290.43,276.6,4.761904762,13.83
45.74,3,6.861,144.081,137.22,4.761904762,6.861
27.07,1,1.3535,28.4235,27.07,4.761904762,1.3535
39.12,1,1.956,41.076,39.12,4.761904762,1.956
74.71,6,22.413,470.673,448.26,4.761904762,22.413
22.01,6,6.603,138.663,132.06,4.761904762,6.603
63.61,5,15.9025,333.9525,318.05,4.761904762,15.9025
25,1,1.25,26.25,25,4.761904762,1.25
20.77,4,4.154,87.234,83.08,4.761904762,4.154
29.56,5,7.39,155.19,147.8,4.761904762,7.39
77.4,9,34.83,731.43,696.6,4.761904762,34.83
79.39,10,39.695,833.595,793.9,4.761904762,39.695
46.57,10,23.285,488.985,465.7,4.761904762,23.285
35.89,1,1.7945,37.6845,35.89,4.761904762,1.7945
40.52,5,10.13,212.73,202.6,4.761904762,10.13
73.05,10,36.525,767.025,730.5,4.761904762,36.525
73.95,4,14.79,310.59,295.8,4.761904762,14.79
22.62,1,1.131,23.751,22.62,4.761904762,1.131
51.34,5,12.835,269.535,256.7,4.761904762,12.835
54.55,10,27.275,572.775,545.5,4.761904762,27.275
37.15,7,13.0025,273.0525,260.05,4.761904762,13.0025
37.02,6,11.106,233.226,222.12,4.761904762,11.106
21.58,1,1.079,22.659,21.58,4.761904762,1.079
98.84,1,4.942,103.782,98.84,4.761904762,4.942
83.77,6,25.131,527.751,502.62,4.761904762,25.131
40.05,4,8.01,168.21,160.2,4.761904762,8.01
43.13,10,21.565,452.865,431.3,4.761904762,21.565
72.57,8,29.028,609.588,580.56,4.761904762,29.028
64.44,5,16.11,338.31,322.2,4.761904762,16.11
65.18,3,9.777,205.317,195.54,4.761904762,9.777
33.26,5,8.315,174.615,166.3,4.761904762,8.315
84.07,4,16.814,353.094,336.28,4.761904762,16.814
34.37,10,17.185,360.885,343.7,4.761904762,17.185
38.6,1,1.93,40.53,38.6,4.761904762,1.93
65.97,8,26.388,554.148,527.76,4.761904762,26.388
32.8,10,16.4,344.4,328,4.761904762,16.4
37.14,5,9.285,194.985,185.7,4.761904762,9.285
60.38,10,30.19,633.99,603.8,4.761904762,30.19
36.98,10,18.49,388.29,369.8,4.761904762,18.49
49.49,4,9.898,207.858,197.96,4.761904762,9.898
